0		UDP	Reserved	Official
1 	TCP 	UDP 	TCP Port Service Multiplexer (TCPMUX) 	Official
2 	TCP 	UDP 	CompressNET[2] Management Utility[3] 	Official
3 	TCP 	UDP 	CompressNET[2] Compression Process[4] 	Official
4 	TCP 	UDP 	Unassigned 	Official
5 	TCP 	UDP 	Remote Job Entry 	Official
7 	TCP 	UDP 	Echo Protocol 	Official
8 	TCP 	UDP 	Unassigned 	Official
9 	TCP 	UDP 	Discard Protocol 	Official
10 	TCP 	UDP 	Unassigned 	Official
11 	TCP 	UDP 	Active Users (systat service)[5][6] 	Official
12 	TCP 	UDP 	Unassigned 	Official
13 	TCP 	UDP 	Daytime Protocol (RFC 867) 	Official
14 	TCP 	UDP 	Unassigned 	Official
15 	TCP 	UDP 	Previously netstat service[5] 	Unofficial
16 	TCP 	UDP 	Unassigned 	Official
17 	TCP 	UDP 	Quote of the Day 	Official
18 	TCP 	UDP 	Message Send Protocol 	Official
19 	TCP 	UDP 	Character Generator Protocol (CHARGEN) 	Official
20 	TCP 	UDP 	FTP data transfer 	Official
21 	TCP 		FTP control (command) 	Official
22 	TCP 	UDP 	Secure Shell (SSH) — used for secure logins, file transfers (scp, sftp) and port forwarding 	Official
23 	TCP 	UDP 	Telnet protocol—unencrypted text communications 	Official
24 	TCP 	UDP 	Priv-mail : any private mail system. 	Official
25 	TCP 		Simple Mail Transfer Protocol (SMTP)—used for e-mail routing between mail servers 	Official
26 	TCP 	UDP 	Unassigned 	Official
27 	TCP 	UDP 	NSW User System FE 	Official
29 	TCP 	UDP 	MSG ICP 	Official
33 	TCP 	UDP 	Display Support Protocol 	Official
35 	TCP 	UDP 	Any private printer server protocol 	Official
37 	TCP 	UDP 	TIME protocol 	Official
39 	TCP 	UDP 	Resource Location Protocol[7] (RLP)—used for determining the location of higher level services from hosts on a network 	Official
40 	TCP 	UDP 	Unassigned 	Official
42 	TCP 	UDP 	ARPA Host Name Server Protocol 	Official
42 	TCP 	UDP 	Windows Internet Name Service 	Unofficial
43 	TCP 		WHOIS protocol 	Official
47 	TCP 	UDP 	NI FTP[7] 	Official
49 	TCP 	UDP 	TACACS Login Host protocol 	Official
50 	TCP 	UDP 	Remote Mail Checking Protocol[8] 	Official
51 	TCP 	UDP 	IMP Logical Address Maintenance 	Official
52 	TCP 	UDP 	XNS (Xerox Network Systems) Time Protocol 	Official
53 	TCP 	UDP 	Domain Name System (DNS) 	Official
54 	TCP 	UDP 	XNS (Xerox Network Systems) Clearinghouse 	Official
55 	TCP 	UDP 	ISI Graphics Language (ISI-GL) 	Official
56 	TCP 	UDP 	XNS (Xerox Network Systems) Authentication 	Official
56 	TCP 	UDP 	Route Access Protocol (RAP)[9] 	Unofficial
57 	TCP 		Mail Transfer Protocol (RFC 780) 	Official
58 	TCP 	UDP 	XNS (Xerox Network Systems) Mail 	Official
64 	TCP 	UDP 	CI (Travelport) (formerly Covia) Comms Integrator 	Official
67 		UDP 	Bootstrap Protocol (BOOTP) Server; also used by Dynamic Host Configuration Protocol (DHCP) 	Official
68 		UDP 	Bootstrap Protocol (BOOTP) Client; also used by Dynamic Host Configuration Protocol (DHCP) 	Official
69 		UDP 	Trivial File Transfer Protocol (TFTP) 	Official
70 	TCP 		Gopher protocol 	Official
71 	TCP 		NETRJS protocol 	Official
72 	TCP 		NETRJS protocol 	Official
73 	TCP 		NETRJS protocol 	Official
74 	TCP 		NETRJS protocol 	Official
79 	TCP 		Finger protocol 	Official
80 	TCP 		Hypertext Transfer Protocol (HTTP) 	Unofficial [10]
81 	TCP 		Torpark—Onion routing 	Unofficial
82 		UDP 	Torpark—Control 	Unofficial
88 	TCP 	UDP 	Kerberos—authentication system 	Official
90 	TCP 	UDP 	dnsix (DoD Network Security for Information Exchange) Securit Attribute Token Map 	Official
90 	TCP 	UDP 	PointCast (dotcom) 	Unofficial
99 	TCP 		WIP Message protocol 	Unofficial
100 		UDP 	CyberGate RAT protocol 	Unofficial
101 	TCP 		NIC host name 	Official
102 	TCP 		ISO-TSAP (Transport Service Access Point) Class 0 protocol;[11] also used by Digital Equipment Corporation DECnet (Phase V+) over TCP/IP 	Official
104 	TCP 	UDP 	ACR/NEMA Digital Imaging and Communications in Medicine (DICOM) 	Official
105 	TCP 	UDP 	CCSO Nameserver Protocol (Qi/Ph) 	Official
107 	TCP 		Remote TELNET Service[12] protocol 	Official
108 	TCP 	UDP 	SNA Gateway Access Server [1] 	Official
109 	TCP 		Post Office Protocol v2 (POP2) 	Official
110 	TCP 		Post Office Protocol v3 (POP3) 	Official
111 	TCP 	UDP 	ONC RPC (Sun RPC) 	Official
113 	TCP 		Ident—Authentication Service/Identification Protocol,[13] used by IRC servers to identify users 	Official
113 		UDP 	Authentication Service[13] (auth) 	Official
115 	TCP 		Simple File Transfer Protocol (SFTP) 	Official
117 	STD 		UUCP Path Service 	Official
118 	TCP 	UDP 	SQL (Structured Query Language) Services 	Official
119 	TCP 		Network News Transfer Protocol (NNTP)—retrieval of newsgroup messages 	Official
123 		UDP 	Network Time Protocol (NTP)—used for time synchronization 	Official
126 	TCP 	UDP 	Formerly Unisys Unitary Login, renamed by Unisys to NXEdit. Used by Unisys Programmer's Workbench for Clearpath MCP, an IDE for Unisys MCP software development 	Official
135 	TCP 	UDP 	DCE endpoint resolution 	Official
135 	TCP 	UDP 	Microsoft EPMAP (End Point Mapper), also known as DCE/RPC Locator service,[14] used to remotely manage services including DHCP server, DNS server and WINS. Also used by DCOM 	Unofficial
137 	TCP 	UDP 	NetBIOS NetBIOS Name Service 	Official
138 	TCP 	UDP 	NetBIOS NetBIOS Datagram Service 	Official
139 	TCP 	UDP 	NetBIOS NetBIOS Session Service 	Official
143 	TCP 		Internet Message Access Protocol (IMAP)—management of email messages 	Official
152 	TCP 	UDP 	Background File Transfer Program (BFTP)[15] 	Official
